population,numATMs,ATMwithdr,withdrvalue,unemprate,numbranches
3722,1,".25542593","79.13402557",.0728676,.5
7006,2,"1.837865114","102.6663437",.0226948,.5
4234,0,"missing","missing",.0273973,.125
6229,0,"missing","missing",.024402,.75
10303,1,".6062539816","98.93833923",.0284383,.375
7424,0,"missing","missing",.0373114,.875
2868,0,"missing","missing",.0355649,.375
7129,1,".8399091363","89.14505768",.0352083,.625
5422,0,"missing","missing",.0337514,.125
11564,2,"1.479088187","95.35142517",.0393462,.75
13634,1,".4728165567","101.8217239",.023104,.75
11864,0,"missing","missing",.0321982,.625
21657,4,"1.616903305","87.98657227",.0422984,1.25
4105,0,"missing","missing",.0326871,.25
8933,0,"missing","missing",.0425013,.5
6014,0,"missing","missing",.0310941,.375
9143,1,"1.120984554","100.0271301",.0325932,.5
6471,0,"missing","missing",.0327616,.125
5540,0,"missing","missing",.0272563,.375
4992,0,"missing","missing",.0291726,.375
7871,1,".8060780168","94.02532196",.0364711,.625
22233,3,"1.02925384","91.56924438",.0475795,1.125
8782,1,".9040240645","98.06972504",.035755,.75
9144,1,".446885556","90.92995453",.036308,.625
22148,3,".9759710431","95.11981201",.0228781,1.75
6220,0,"missing","missing",.0228781,.75
5064,0,"missing","missing",.0131371,.6875
1982,0,"missing","missing",.0237134,.25
9839,1,".7094323039","97.88404083",.017888,1
7796,1,".6054539084","107.088913",.0143663,.8125
21307,2,".6818083525","96.7721405",.0238579,1.75
3278,0,"missing","missing",.0238579,.5
17900,2,".660166204","106.1417313",.0172626,1.125
4059,0,"missing","missing",.0189363,.375
5257,0,"missing","missing",.0189363,.5
2559,0,"missing","missing",.0112755,.375
4110,0,"missing","missing",.0174293,.125
5056,1,".7108969688","97.06452942",.0174293,.75
18196,2,".7566719055","100.0709915",.0208185,1.625
5951,2,"2.633136034","104.9790421",.013314,.875
2689,0,"missing","missing",.013314,.125
11831,1,".5737721324","107.3751907",.0129321,1
8615,1,".6640569568","103.9465485",.0114916,1
8844,0,"missing","missing",.0107417,1
8560,1,".7014475465","112.3472061",.0181013,.875
2047,0,"missing","missing",.0181013,.25
14254,1,".4867691696","101.0538177",.013961,1.125
11651,1,".5647422075","107.8446655",.0150202,1.25
10535,1,".8200903535","97.6971817",.0123398,1.25
17166,3,".8953496814","105.2461548",.015088,2.125
15444,1,".5982964635","100.0321503",.0204106,.875
3873,1,".9495713115","97.79012299",.0204106,.625
11096,1,".6035115123","102.5961304",.0167482,.875
7294,0,"missing","missing",.0167482,.75
8732,1,".8232467175","101.2085037",.0132845,1
10829,1,".599909246","102.3603516",.0137593,1.125
6942,1,"1.053541064","109.0342407",.0201046,.75
8884,2,"1.445601702","101.0306396",.0126888,1.5
4508,0,"missing","missing",.0126888,.625
7335,0,"missing","missing",.0126888,.375
11980,0,"missing","missing",.0443823,.75
9608,0,"missing","missing",.0443823,1
25582,3,".6474126577","106.8134308",.0311156,1.875
18007,2,".8590907454","113.0550308",.024877,1.625
5985,0,"missing","missing",.024877,.875
8712,0,"missing","missing",.024877,1.125
4680,0,"missing","missing",.024877,.625
13649,0,"missing","missing",.0279874,1.5
8690,0,"missing","missing",.0324511,1.25
6830,0,"missing","missing",.0125999,1
2645,0,"missing","missing",.0125999,.125
2668,0,"missing","missing",.0125999,.25
10920,1,".6888431907","110.0593109",.0276557,1.375
22024,2,".6497668624","111.3519363",.0250636,2.625
8315,1,".7863036394","112.4023972",.0223692,.875
15098,1,".4479586482","110.6353912",.0201351,1.6875
7181,1,".9731853008","105.6821289",.0208969,.875
3299,0,"missing","missing",.0208969,.25
7352,0,"missing","missing",.0229869,.875
38713,5,".9362015128","96.19567871",.0434996,3.375
10482,1,".4431467056","101.1912537",.0161229,1
6127,2,"1.793923855","107.109108",.0146063,1
3652,0,"missing","missing",.0146063,.75
2888,0,"missing","missing",.0146063,.375
1746,0,"missing","missing",.0146063,.125
3456,0,"missing","missing",.0146063,.625
8058,0,"missing","missing",.017374,.875
15846,1,".4694417417","108.9539413",.0212672,1.125
12444,1,".6366490126","106.3299255",.024108,1.25
11883,1,".5747702718","112.6825104",.0245729,1
5060,0,"missing","missing",.0202466,1
4520,0,"missing","missing",.0202466,.625
3558,0,"missing","missing",.0202466,.5
2156,0,"missing","missing",.0199443,.75
13949,1,".6217656732","105.091629",.0148398,1.625
31763,4,".8514554501","102.6305695",.0266977,2.75
9463,0,"missing","missing",.0247956,1.125
5338,1,"1.176394224","107.3557892",.0247956,.75
33879,3,".7268910408","104.0031204",.0261224,2
9204,1,".4901817441","102.913002",.0227075,1
17633,1,".5268602371","111.6983948",.023819,2.1875
9797,0,"missing","missing",.0238849,1
8489,1,".9450505376","107.9600143",.0272117,1
16222,1,".5346449018","104.3997269",.0302937,1
3188,0,"missing","missing",.0302937,.5
32386,4,".7490708232","94.52524567",.023961,2.375
17615,1,".3848968446","107.1168671",.0141924,2
9590,1,".4269719422","94.35254669",.0164812,.875
2363,0,"missing","missing",.0164812,.125
20497,2,".5972720981","109.624649",.0242475,1.875
15938,2,".829861939","101.0452423",.0181328,1.375
15389,1,".3999285698","110.4123993",.0169602,1.875
10169,1,".5724184513","111.9809189",.0240928,1.25
2019,0,"missing","missing",.0332054,.125
6336,0,"missing","missing",.0332054,.875
5099,0,"missing","missing",.0332054,.375
14237,1,".5816574097","105.3580093",.0143289,1.375
14549,1,".3169775009","100.2672958",.0149151,1.625
13931,1,".6171814203","102.0351639",.0163814,2
5176,0,"missing","missing",.0163814,.875
15780,1,".5094558001","107.2138672",.0159696,1.875
19841,2,".5817133188","105.2606125",.0143138,1.75
7536,0,"missing","missing",.0138004,1.125
16481,1,".304107666","103.6930542",.0156544,1.125
17342,3,".9112688303","106.1057892",.0151078,1.625
17253,1,".574716568","98.88096619",.02075,1.75
25329,2,".608443737","102.7772522",.0165818,2.5
19562,2,".6663190126","112.1813354",.0155403,1.5
20113,2,".543993175","105.3663483",.0143191,1.25
17641,1,".3862205148","100.0280151",.0163823,1.75
3404,0,"missing","missing",.0266251,.5
19017,2,".7082180381","97.94142151",.0153547,1.625
9054,1,".2376379073","99.09748077",.0136956,1.125
3208,0,"missing","missing",.0110128,.375
1738,0,"missing","missing",.0110128,.25
2570,0,"missing","missing",.0110128,.25
2706,0,"missing","missing",.0110128,.25
4923,1,"1.343321085","97.36789703",.0103185,.75
3993,0,"missing","missing",.0103185,.5
5701,0,"missing","missing",.0122713,.625
5565,0,"missing","missing",.0122713,.375
20225,2,".6362296343","104.6939011",.0130532,1.625
23846,2,".6235514283","110.1555481",.0143001,2.125
8092,1,".7605660558","99.25353241",.0155727,.75
3551,0,"missing","missing",.0155727,.5
2998,0,"missing","missing",.0155727,.5
8148,1,"1.0378232","104.7872925",.0199212,.875
5305,0,"missing","missing",.0199212,.5
9096,1,".7022872567","115.8701324",.0200088,1.25
12015,2,".8995342255","105.9349594",.0183104,.875
13223,1,".5058023334","103.5350266",.0166377,1.75
5540,1,"1.40295136","103.6988754",.0135834,.75
5871,0,"missing","missing",.0135834,.375
15149,3,"1.762681484","102.4691772",.0242468,1.625
7088,0,"missing","missing",.0242468,.5
5313,0,"missing","missing",.0242468,.75
9981,0,"missing","missing",.013895,1.25
2179,0,"missing","missing",.013895,.125
6437,0,"missing","missing",.012614,.75
2442,0,"missing","missing",.012614,.5
9582,0,"missing","missing",.0195111,1.125
4564,0,"missing","missing",.0195111,.75
17296,3,"1.209256172","96.70191193",.0258094,1.75
2884,0,"missing","missing",.0226602,.125
2835,0,"missing","missing",.0258094,.125
31494,4,".8650830388","94.54476929",.0239411,3.666667
5352,1,".7167673111","93.78115082",.0174535,1
6865,0,"missing","missing",.0154406,1
